title,authors,description,categories
To Kill a Mockingbird,Harper Lee,"A gripping tale of racial injustice and childhood innocence in the American South. Scout Finch narrates the story of her father, lawyer Atticus Finch, defending a black man falsely accused of rape in 1930s Alabama.",Fiction
1984,George Orwell,"A dystopian social science fiction novel set in a totalitarian society ruled by Big Brother. Winston Smith works at the Ministry of Truth, rewriting history, but begins to rebel against the oppressive regime.",Science Fiction
Pride and Prejudice,Jane Austen,"A romantic novel of manners following Elizabeth Bennet as she deals with issues of morality, education, and marriage in the landed gentry of early 19th-century England.",Romance
The Great Gatsby,F. Scott Fitzgerald,"A tragic story of Jay Gatsby and his obsessive pursuit of Daisy Buchanan, set in the Jazz Age of 1920s America. A critique of the American Dream and the decadence of the wealthy elite.",Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,An orphaned boy discovers he's a wizard and attends Hogwarts School of Witchcraft and Wizardry. Harry Potter faces dark forces while making friends and learning magic in this enchanting adventure.,Fantasy
The Hobbit,J.R.R. Tolkien,"Bilbo Baggins, a hobbit, is swept into an epic quest to reclaim a treasure guarded by the dragon Smaug. A tale of adventure, courage, and unexpected heroism in Middle-earth.",Fantasy
The Catcher in the Rye,J.D. Salinger,"Holden Caulfield narrates his experiences in New York City after being expelled from prep school. A story of teenage rebellion, alienation, and the loss of innocence.",Fiction
The Lord of the Rings,J.R.R. Tolkien,"An epic high fantasy trilogy following Frodo Baggins on his quest to destroy the One Ring and defeat the Dark Lord Sauron. A tale of friendship, sacrifice, and the battle between good and evil.",Fantasy
Animal Farm,George Orwell,"A satirical allegory of Soviet totalitarianism where farm animals rebel against their human farmer, only to find themselves under a new tyranny. A powerful critique of political corruption.",Political Fiction
Brave New World,Aldous Huxley,"A dystopian novel set in a futuristic World State where citizens are genetically engineered and conditioned for predetermined roles. Explores themes of technology, control, and individuality.",Science Fiction
The Chronicles of Narnia,C.S. Lewis,"Four siblings discover a magical wardrobe that leads to Narnia, a land of talking animals and mythical creatures. They join the lion Aslan in the battle against the White Witch.",Fantasy
Jane Eyre,Charlotte Brontë,"An orphaned governess falls in love with her brooding employer, Mr. Rochester, but dark secrets threaten their happiness. A Gothic romance exploring themes of morality, social class, and feminism.",Romance
Wuthering Heights,Emily Brontë,"A passionate and destructive love story between Heathcliff and Catherine Earnshaw set on the Yorkshire moors. A Gothic tale of revenge, obsession, and the supernatural.",Romance
The Diary of a Young Girl,Anne Frank,The real diary of a Jewish girl hiding from the Nazis during World War II in Amsterdam. A poignant and powerful testament to the human spirit in the face of persecution.,Biography
Fahrenheit 451,Ray Bradbury,"In a future American society where books are outlawed and burned, fireman Guy Montag begins to question his role. A dystopian novel about censorship, conformity, and the power of literature.",Science Fiction
The Hunger Games,Suzanne Collins,"In a dystopian future, teenagers are forced to fight to the death in a televised event. Katniss Everdeen volunteers to save her sister and becomes a symbol of rebellion against tyranny.",Science Fiction
Divergent,Veronica Roth,"In a society divided into five factions, Tris Prior discovers she's Divergent and doesn't fit into any single group. She must hide her identity while uncovering a conspiracy that threatens her world.",Science Fiction
The Fault in Our Stars,John Green,"Two teenagers with cancer meet at a support group and fall in love. A heartbreaking and beautiful story about life, death, and finding meaning in the face of mortality.",Romance
The Book Thief,Markus Zusak,"Narrated by Death, this novel follows Liesel, a young girl living in Nazi Germany who steals books and shares them with others. A story of courage, friendship, and the power of words.",Historical Fiction
The Kite Runner,Khaled Hosseini,"A powerful story of friendship, betrayal, and redemption set in Afghanistan. Amir seeks to atone for his childhood betrayal of his loyal friend Hassan against the backdrop of a changing country.",Historical Fiction
Life of Pi,Yann Martel,"After a shipwreck, a young Indian boy named Pi survives 227 days stranded on a lifeboat with a Bengal tiger. A philosophical adventure about faith, survival, and storytelling.",Adventure
The Alchemist,Paulo Coelho,"A young Andalusian shepherd named Santiago travels to Egypt in search of treasure, learning profound lessons about following one's dreams and listening to one's heart along the way.",Fiction
Gone Girl,Gillian Flynn,"When Amy Dunne disappears on her fifth wedding anniversary, her husband Nick becomes the prime suspect. A psychological thriller full of twists, lies, and dark secrets.",Mystery
The Girl with the Dragon Tattoo,Stieg Larsson,"Journalist Mikael Blomkvist and hacker Lisbeth Salander investigate a decades-old disappearance in this gripping Swedish crime thriller. Dark, complex, and utterly compelling.",Mystery
The Da Vinci Code,Dan Brown,"Symbologist Robert Langdon unravels a mystery involving the Holy Grail, secret societies, and religious conspiracies. A fast-paced thriller blending art, history, and suspense.",Thriller
Angels & Demons,Dan Brown,"Robert Langdon races against time to prevent the Illuminati from destroying Vatican City with antimatter. A thrilling adventure through Rome involving science, religion, and ancient secrets.",Thriller
The Shining,Stephen King,"Jack Torrance becomes the winter caretaker of the isolated Overlook Hotel with his family. As supernatural forces take hold, Jack descends into madness with terrifying consequences.",Horror
It,Stephen King,"A group of childhood friends reunite to confront a shape-shifting evil entity that preys on children in their hometown of Derry, Maine. A horror epic about fear, friendship, and courage.",Horror
Carrie,Stephen King,A bullied teenage girl with telekinetic powers unleashes her fury on her tormentors at the high school prom. Stephen King's first published novel is a chilling tale of revenge and supernatural horror.,Horror
The Stand,Stephen King,"After a deadly plague wipes out most of humanity, survivors must choose between good and evil in a post-apocalyptic America. An epic battle between light and darkness unfolds.",Horror
Dune,Frank Herbert,"On the desert planet Arrakis, young Paul Atreides becomes embroiled in political intrigue and a struggle for control of the universe's most valuable substance, spice melange. A science fiction masterpiece.",Science Fiction
Foundation,Isaac Asimov,Mathematician Hari Seldon predicts the fall of the Galactic Empire and establishes the Foundation to preserve knowledge and shorten the coming dark age. A groundbreaking science fiction saga.,Science Fiction
Neuromancer,William Gibson,"A washed-up computer hacker is hired for one last job in cyberspace. This cyberpunk classic explores artificial intelligence, virtual reality, and corporate power in a dystopian future.",Science Fiction
The Handmaid's Tale,Margaret Atwood,"In the totalitarian Republic of Gilead, women are subjugated and forced into reproductive servitude. Offred's story is a chilling dystopian warning about religious extremism and patriarchy.",Science Fiction
The Road,Cormac McCarthy,"A father and son journey through a post-apocalyptic America, struggling to survive and maintain their humanity in a world of ash and despair. A haunting meditation on love and survival.",Post-Apocalyptic
The Martian,Andy Weir,"Astronaut Mark Watney is stranded alone on Mars and must use his ingenuity and scientific knowledge to survive until rescue. A thrilling, humorous, and scientifically accurate survival story.",Science Fiction
Ready Player One,Ernest Cline,"In a dystopian future, people escape reality through a virtual world called the OASIS. When the creator dies, he leaves behind a treasure hunt that could change everything.",Science Fiction
Ender's Game,Orson Scott Card,"Brilliant child Andrew 'Ender' Wiggin is trained at Battle School to lead humanity's fight against an alien invasion. A science fiction classic exploring war, morality, and childhood.",Science Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Arthur Dent is rescued from Earth's destruction by his alien friend Ford Prefect and embarks on a hilarious cosmic adventure. A comedic science fiction masterpiece full of wit and absurdity.,Science Fiction
Slaughterhouse-Five,Kurt Vonnegut,"Billy Pilgrim becomes 'unstuck in time' and experiences his life non-linearly, including his experiences as a POW during the bombing of Dresden. A satirical anti-war novel.",Science Fiction
Catch-22,Joseph Heller,Captain John Yossarian tries to survive World War II while dealing with the absurd bureaucracy of military life. A darkly comic satire of war and institutional madness.,Satire
The Color Purple,Alice Walker,"Celie, a poor black woman in the American South, overcomes abuse and oppression through the support of other women. An epistolary novel about resilience, love, and self-discovery.",Historical Fiction
Beloved,Toni Morrison,"Sethe, an escaped slave, is haunted by the ghost of her dead daughter in post-Civil War Ohio. A powerful exploration of slavery's trauma and the struggle for freedom and identity.",Historical Fiction
One Hundred Years of Solitude,Gabriel García Márquez,"The multi-generational story of the Buendía family in the fictional town of Macondo. A masterpiece of magical realism exploring love, power, and the cyclical nature of history.",Magical Realism
The Shadow of the Wind,Carlos Ruiz Zafón,"In post-war Barcelona, young Daniel discovers a mysterious book that leads him into a labyrinth of secrets, forbidden love, and dark conspiracies. A Gothic mystery about books and obsession.",Mystery
The Name of the Rose,Umberto Eco,"Franciscan friar William of Baskerville investigates a series of murders at an Italian abbey in 1327. A medieval mystery combining semiotics, theology, and detective fiction.",Mystery
Rebecca,Daphne du Maurier,"A young woman marries a wealthy widower and moves to his estate, Manderley, where she's haunted by the memory of his first wife, Rebecca. A Gothic psychological thriller.",Mystery
Dracula,Bram Stoker,Count Dracula attempts to move from Transylvania to England to spread the undead curse. A group of heroes led by Professor Van Helsing must stop him. The quintessential vampire novel.,Horror
Frankenstein,Mary Shelley,"Victor Frankenstein creates a living being from dead tissue, but the creature's loneliness and rejection lead to tragedy. A Gothic novel exploring creation, responsibility, and humanity.",Horror
The Picture of Dorian Gray,Oscar Wilde,"A young man sells his soul so that a portrait ages instead of him, allowing him to pursue a life of hedonism without consequence. A philosophical novel about vanity, morality, and corruption.",Fiction
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Lawyer Gabriel Utterson investigates the connection between his friend Dr. Jekyll and the evil Mr. Hyde. A classic tale of duality and the darkness within human nature.,Horror
Moby-Dick,Herman Melville,"Captain Ahab's obsessive quest to kill the white whale that maimed him leads the crew of the Pequod on a doomed voyage. An epic tale of obsession, fate, and the power of nature.",Adventure
The Adventures of Huckleberry Finn,Mark Twain,"Huck Finn and runaway slave Jim travel down the Mississippi River on a raft, encountering adventure and confronting the moral complexities of pre-Civil War America.",Adventure
Treasure Island,Robert Louis Stevenson,"Young Jim Hawkins discovers a treasure map and sets sail with pirates and adventurers to find buried gold. A classic tale of adventure, betrayal, and coming of age.",Adventure
The Count of Monte Cristo,Alexandre Dumas,"Edmond Dantès is wrongfully imprisoned, escapes, finds treasure, and returns as the Count of Monte Cristo to exact elaborate revenge on those who betrayed him. A tale of justice and redemption.",Adventure
The Three Musketeers,Alexandre Dumas,"Young d'Artagnan joins the legendary musketeers Athos, Porthos, and Aramis in 17th-century France for swashbuckling adventures, political intrigue, and the motto 'All for one, one for all!'",Adventure
Around the World in Eighty Days,Jules Verne,"Phileas Fogg bets he can circumnavigate the globe in 80 days and embarks on an extraordinary journey filled with obstacles, adventures, and unexpected romance.",Adventure
Twenty Thousand Leagues Under the Sea,Jules Verne,Professor Aronnax is captured by the mysterious Captain Nemo aboard the submarine Nautilus and explores the wonders and dangers of the deep ocean. A pioneering science fiction adventure.,Science Fiction
Journey to the Center of the Earth,Jules Verne,Professor Lidenbrock and his nephew descend into an Icelandic volcano and discover a subterranean world filled with prehistoric creatures and geological marvels. A classic adventure novel.,Adventure
The Time Machine,H.G. Wells,"An inventor travels to the year 802,701 and discovers humanity has evolved into two species: the peaceful Eloi and the predatory Morlocks. A pioneering work of science fiction exploring evolution and class.",Science Fiction
The War of the Worlds,H.G. Wells,"Martians invade Earth with advanced technology, devastating humanity. A narrator struggles to survive and reunite with his wife. A groundbreaking alien invasion story and social commentary.",Science Fiction
The Invisible Man,H.G. Wells,A scientist discovers how to make himself invisible but descends into madness and violence. A science fiction classic exploring the corruption of power and the dangers of unchecked ambition.,Science Fiction
The Island of Dr. Moreau,H.G. Wells,"A shipwrecked man discovers an island where a mad scientist conducts horrific experiments, creating human-animal hybrids. A disturbing exploration of ethics, evolution, and what it means to be human.",Science Fiction
Lord of the Flies,William Golding,"A group of British boys stranded on an uninhabited island descend into savagery. A dark allegory about civilization, human nature, and the thin veneer of social order.",Fiction
Of Mice and Men,John Steinbeck,"Two migrant workers, George and Lennie, dream of owning land during the Great Depression. A tragic tale of friendship, dreams, and the harsh realities of American life.",Fiction
The Grapes of Wrath,John Steinbeck,"The Joad family leaves Oklahoma during the Dust Bowl and travels to California seeking a better life. An epic novel about poverty, injustice, and the resilience of the human spirit.",Historical Fiction
East of Eden,John Steinbeck,"A multi-generational saga of two families in California's Salinas Valley, retelling the biblical story of Cain and Abel. An exploration of good, evil, and free will.",Fiction
A Tale of Two Cities,Charles Dickens,"Set during the French Revolution, this novel follows Charles Darnay and Sydney Carton in London and Paris. A story of sacrifice, resurrection, and the best and worst of humanity.",Historical Fiction
Great Expectations,Charles Dickens,"Orphan Pip receives mysterious financial support and rises in society, but learns painful lessons about wealth, class, and what truly matters. A coming-of-age story set in Victorian England.",Fiction
Oliver Twist,Charles Dickens,An orphan boy escapes a workhouse and falls in with a gang of pickpockets in London. A social novel exposing the harsh realities of poverty and child exploitation in Victorian England.,Fiction
David Copperfield,Charles Dickens,The semi-autobiographical story of David Copperfield's journey from a difficult childhood to becoming a successful author. A rich portrait of Victorian society and human resilience.,Fiction
The Odyssey,Homer,"After the Trojan War, Odysseus embarks on a ten-year journey home to Ithaca, facing monsters, gods, and countless obstacles. An ancient Greek epic of adventure, cunning, and perseverance.",Epic
The Iliad,Homer,"The epic tale of the Trojan War, focusing on the wrath of Achilles and the conflict between Greeks and Trojans. A foundational work of Western literature exploring honor, glory, and mortality.",Epic
Beowulf,Unknown,"The legendary Geatish warrior Beowulf battles the monster Grendel, Grendel's mother, and a dragon. An Old English epic poem about heroism, loyalty, and the struggle against evil.",Epic
The Divine Comedy,Dante Alighieri,"Dante journeys through Hell, Purgatory, and Paradise guided by the poet Virgil and his beloved Beatrice. An epic poem exploring sin, redemption, and divine justice.",Epic
Paradise Lost,John Milton,"An epic poem retelling the biblical story of the Fall of Man, Satan's rebellion, and Adam and Eve's expulsion from Eden. A profound exploration of free will, temptation, and redemption.",Epic
Don Quixote,Miguel de Cervantes,"An aging gentleman believes himself a knight-errant and sets out on absurd adventures with his squire Sancho Panza. A satirical masterpiece about idealism, reality, and the power of imagination.",Satire
Crime and Punishment,Fyodor Dostoevsky,"Impoverished student Raskolnikov murders a pawnbroker and grapples with guilt and moral philosophy. A psychological novel exploring morality, redemption, and the human conscience.",Fiction
The Brothers Karamazov,Fyodor Dostoevsky,"Three brothers with contrasting personalities become embroiled in their father's murder. A philosophical novel exploring faith, doubt, free will, and morality.",Fiction
War and Peace,Leo Tolstoy,"An epic novel following five aristocratic families during Napoleon's invasion of Russia. A sweeping exploration of history, society, love, and the meaning of life.",Historical Fiction
Anna Karenina,Leo Tolstoy,"Anna Karenina's passionate affair with Count Vronsky leads to her social downfall and tragic end. A novel about love, family, society, and the search for meaning.",Fiction
The Master and Margarita,Mikhail Bulgakov,"The Devil visits Soviet Moscow, causing chaos, while a writer's suppressed novel about Pontius Pilate comes to life. A satirical fantasy blending comedy, romance, and political critique.",Fantasy
Lolita,Vladimir Nabokov,"Humbert Humbert's obsessive and destructive infatuation with twelve-year-old Dolores Haze. A controversial and masterfully written novel exploring obsession, manipulation, and moral depravity.",Fiction
The Bell Jar,Sylvia Plath,"Esther Greenwood's descent into mental illness during a summer internship in New York. A semi-autobiographical novel about depression, identity, and the pressures on women in 1950s America.",Fiction
The Outsiders,S.E. Hinton,"Ponyboy Curtis and his gang of 'Greasers' clash with the wealthy 'Socs' in 1960s Oklahoma. A coming-of-age novel about class conflict, loyalty, and finding one's place in the world.",Fiction
The Giver,Lois Lowry,"In a seemingly perfect society without pain or choice, twelve-year-old Jonas is chosen to receive memories of the past and discovers dark truths. A dystopian novel about freedom and humanity.",Science Fiction
A Wrinkle in Time,Madeleine L'Engle,"Meg Murry travels through space and time with her brother and friend to rescue her father from evil forces. A science fantasy adventure about love, courage, and the battle between light and darkness.",Science Fiction
Charlotte's Web,E.B. White,"A pig named Wilbur is saved from slaughter by the clever spider Charlotte, who weaves messages in her web. A beloved children's story about friendship, sacrifice, and the cycle of life.",Children's Literature
The Little Prince,Antoine de Saint-Exupéry,"A young prince travels from planet to planet, meeting strange adults and learning about love, loss, and what matters in life. A philosophical fable for all ages.",Children's Literature
Alice's Adventures in Wonderland,Lewis Carroll,Alice falls down a rabbit hole into a fantastical world of peculiar creatures and nonsensical logic. A whimsical classic of children's literature full of wordplay and imagination.,Fantasy
The Secret Garden,Frances Hodgson Burnett,"Orphaned Mary Lennox discovers a hidden garden at her uncle's estate and, with new friends, brings it back to life. A story about healing, growth, and the transformative power of nature.",Children's Literature
Anne of Green Gables,L.M. Montgomery,Imaginative orphan Anne Shirley is mistakenly sent to live with siblings Marilla and Matthew Cuthbert on Prince Edward Island. A heartwarming coming-of-age story about belonging and self-acceptance.,Children's Literature
Little Women,Louisa May Alcott,"The four March sisters—Meg, Jo, Beth, and Amy—grow up during the Civil War, facing challenges and pursuing their dreams. A classic novel about family, love, and female independence.",Fiction
The Adventures of Tom Sawyer,Mark Twain,"Mischievous Tom Sawyer has adventures in the antebellum South, including witnessing a murder and searching for treasure. A nostalgic and humorous tale of boyhood and small-town America.",Adventure
Where the Wild Things Are,Maurice Sendak,"Max sails to an island inhabited by wild creatures who make him their king. A beloved picture book about imagination, emotions, and the comfort of home.",Children's Literature
Goodnight Moon,Margaret Wise Brown,A little bunny says goodnight to everything in his room. A soothing bedtime classic with rhythmic text and gentle illustrations.,Children's Literature
The Very Hungry Caterpillar,Eric Carle,A caterpillar eats through various foods before transforming into a beautiful butterfly. A colorful and educational children's book about growth and transformation.,Children's Literature
Green Eggs and Ham,Dr. Seuss,Sam-I-Am persistently offers green eggs and ham to a reluctant character. A playful rhyming book about trying new things and keeping an open mind.,Children's Literature
The Cat in the Hat,Dr. Seuss,A mischievous cat brings chaos and fun to two children on a rainy day. A beloved rhyming story that has delighted generations of young readers.,Children's Literature
Matilda,Roald Dahl,"Brilliant young Matilda develops telekinetic powers and uses them to stand up to her cruel parents and tyrannical headmistress. A story about intelligence, justice, and the power of kindness.",Children's Literature
Charlie and the Chocolate Factory,Roald Dahl,"Poor Charlie Bucket wins a golden ticket to tour Willy Wonka's magical chocolate factory. A whimsical tale about greed, goodness, and wonderful confections.",Children's Literature
James and the Giant Peach,Roald Dahl,"Orphaned James escapes his cruel aunts inside a giant magical peach with insect friends. A fantastical adventure about friendship, courage, and finding family.",Children's Literature
The BFG,Roald Dahl,Sophie befriends the Big Friendly Giant who catches and distributes dreams. Together they stop the other giants from eating children. A heartwarming story about friendship and bravery.,Children's Literature
Where the Red Fern Grows,Wilson Rawls,"A boy raises two coon hounds in the Ozarks and experiences the joys and heartbreaks of life. A moving story about love, loyalty, and growing up.",Children's Literature
Bridge to Terabithia,Katherine Paterson,"Two lonely children create an imaginary kingdom in the woods, but tragedy strikes. A powerful story about friendship, imagination, and coping with loss.",Children's Literature
Holes,Louis Sachar,Stanley Yelnats is sent to a desert detention camp where boys dig holes daily. He uncovers the truth behind the digging and his family's curse. A clever adventure blending mystery and humor.,Children's Literature
Percy Jackson & The Lightning Thief,Rick Riordan,Twelve-year-old Percy discovers he's a demigod and must prevent a war among the Greek gods. A modern fantasy adventure combining mythology with contemporary settings.,Fantasy
The Maze Runner,James Dashner,"Thomas wakes up in a mysterious maze with no memory, surrounded by other boys. They must escape the deadly labyrinth and uncover the truth. A dystopian thriller full of suspense.",Science Fiction
The Mortal Instruments: City of Bones,Cassandra Clare,Clary Fray discovers a hidden world of Shadowhunters who hunt demons. She must find her missing mother and uncover her own mysterious past. An urban fantasy filled with action and romance.,Fantasy
Twilight,Stephenie Meyer,"Bella Swan falls in love with vampire Edward Cullen in the rainy town of Forks, Washington. A paranormal romance about forbidden love and the supernatural.",Romance
The Host,Stephenie Meyer,An alien soul named Wanderer inhabits Melanie's body but can't suppress her consciousness. Together they navigate love and survival in a world controlled by aliens. A science fiction romance.,Science Fiction
A Court of Thorns and Roses,Sarah J. Maas,"Feyre kills a wolf and is taken to a magical faerie realm as punishment. She discovers romance, danger, and a curse threatening the fae world. A fantasy romance retelling of Beauty and the Beast.",Fantasy
Throne of Glass,Sarah J. Maas,"Assassin Celaena Sardothien competes to become the king's champion in exchange for her freedom. A high fantasy series filled with action, magic, and political intrigue.",Fantasy
Six of Crows,Leigh Bardugo,"A crew of six outcasts attempts an impossible heist in a magical world. A fantasy adventure with complex characters, clever plotting, and diverse representation.",Fantasy
The Cruel Prince,Holly Black,"Mortal Jude is raised in the treacherous High Court of Faerie and must navigate political intrigue and dangerous romance. A dark fantasy about power, ambition, and survival.",Fantasy
Red Queen,Victoria Aveyard,"In a world divided by blood color, Mare discovers she has powers despite being a Red. She's thrust into the Silver court and a dangerous rebellion. A dystopian fantasy about class and revolution.",Fantasy
An Ember in the Ashes,Sabaa Tahir,"A scholar and a soldier's paths cross in a brutal empire inspired by ancient Rome. A fantasy epic about resistance, loyalty, and survival under tyranny.",Fantasy
The Selection,Kiera Cass,Thirty-five girls compete for Prince Maxon's heart in a televised competition. America Singer enters reluctantly but finds unexpected love. A dystopian romance blending The Bachelor with royalty.,Romance
Caraval,Stephanie Garber,"Scarlett receives tickets to the legendary Caraval performance where the line between game and reality blurs. A magical fantasy about sisters, love, and illusion.",Fantasy
Children of Blood and Bone,Tomi Adeyemi,"Zélie fights to restore magic to her West African-inspired world after a brutal king destroyed it. A fantasy adventure about oppression, heritage, and revolution.",Fantasy
The Poppy War,R.F. Kuang,War orphan Rin aces the empire's test and discovers she has a dangerous power connected to shamanism and gods. A dark fantasy inspired by Chinese history exploring war and its consequences.,Fantasy
The Night Circus,Erin Morgenstern,"Two young magicians are bound in a competition that takes place in a mysterious circus that appears without warning. A enchanting fantasy about magic, love, and destiny.",Fantasy
The Invisible Life of Addie LaRue,V.E. Schwab,"Addie makes a Faustian bargain to live forever but be forgotten by everyone she meets. After 300 years, she finds someone who remembers her. A fantasy about memory, art, and immortality.",Fantasy
Circe,Madeline Miller,"The story of the witch Circe, exiled to an island, who transforms from an outcast into a powerful sorceress. A feminist retelling of Greek mythology.",Fantasy
The Song of Achilles,Madeline Miller,"The love story between Achilles and Patroclus during the Trojan War, told from Patroclus's perspective. A beautiful retelling of Greek mythology exploring love and fate.",Fantasy
American Gods,Neil Gaiman,"Ex-convict Shadow Moon is caught in a war between old gods and new in modern America. A fantasy blending mythology, Americana, and the power of belief.",Fantasy
Good Omens,Neil Gaiman and Terry Pratchett,"An angel and demon team up to prevent the apocalypse. A comedic fantasy about the end of the world, friendship, and humanity's quirks.",Fantasy
Neverwhere,Neil Gaiman,"Richard Mayhew falls through the cracks into London Below, a magical underworld. He must navigate this dangerous realm to return home. An urban fantasy adventure.",Fantasy
The Ocean at the End of the Lane,Neil Gaiman,A man returns home and remembers supernatural events from his childhood involving ancient powers and a mysterious family. A dark fantasy about memory and magic.,Fantasy
Coraline,Neil Gaiman,Coraline discovers a door to an alternate world with sinister versions of her parents. She must be brave to escape and save her family. A creepy children's fantasy.,Children's Literature
Stardust,Neil Gaiman,Young Tristran crosses into the magical realm of Faerie to retrieve a fallen star for his beloved. A romantic fantasy adventure filled with wonder and danger.,Fantasy
The Graveyard Book,Neil Gaiman,"Nobody Owens is raised by ghosts in a graveyard after his family is murdered. A coming-of-age fantasy about belonging, danger, and growing up between two worlds.",Fantasy
